task_id,wandb_name,wandb_run_id,channels,lr,total_steps_requested,total_env_steps,final_mean_score,elapsed_sec,pueue_started_at,pueue_finished_at
287,ahc061-ppo-10m-ch64-lr9p4868e-5,m8gdadbv,64,0.00009486832981,10000000,10035200,115230.478516,1762.3112392425537,2026-09-14T01:38:27.440646108+09:00,2026-09-14T02:07:56.230117663+09:00
288,ahc061-ppo-10m-ch64-lr1p6870e-4,hgf3bzdr,64,0.0001687023976,10000000,10035200,131348.125,1692.7227413654327,2026-09-14T02:07:56.243387586+09:00,2026-09-14T02:36:14.857485880+09:00
289,ahc061-ppo-10m-ch64-lr3e-4,8i5n3asu,64,0.0003,10000000,10035200,144705.202148,1698.470618724823,2026-09-14T02:36:14.870631753+09:00,2026-09-14T03:04:39.193536314+09:00
290,ahc061-ppo-10m-ch64-lr5p3348e-4,hhdys2ix,64,0.000533483823,10000000,10035200,158069.205078,1692.2274475097656,2026-09-14T03:04:39.198701369+09:00,2026-09-14T03:32:57.239481274+09:00
291,ahc061-ppo-10m-ch64-lr9p4868e-4,tk5rpoq0,64,0.0009486832981,10000000,10035200,155164.305664,1691.4626009464264,2026-09-14T03:32:57.252575062+09:00,2026-09-14T04:01:14.694283638+09:00
292,ahc061-ppo-10m-ch128-lr9p4868e-5,io565a7h,128,0.00009486832981,10000000,10035200,126919.884766,1767.3503925800323,2026-09-14T04:01:14.707413560+09:00,2026-09-14T04:30:48.037088593+09:00
293,ahc061-ppo-10m-ch128-lr1p6870e-4,71ckucau,128,0.0001687023976,10000000,10035200,144280.02832,1760.4379243850708,2026-09-14T04:30:48.050132044+09:00,2026-09-14T05:00:14.387911033+09:00
294,ahc061-ppo-10m-ch128-lr3e-4,9iybj91r,128,0.0003,10000000,10035200,154733.225586,1760.4272994995117,2026-09-14T05:00:14.393097665+09:00,2026-09-14T05:29:41.023357765+09:00
295,ahc061-ppo-10m-ch128-lr5p3348e-4,8i5hsbys,128,0.000533483823,10000000,10035200,163300.905273,1758.9100284576416,2026-09-14T05:29:41.030744407+09:00,2026-09-14T05:59:05.904436931+09:00
296,ahc061-ppo-10m-ch128-lr9p4868e-4,lo39fmot,128,0.0009486832981,10000000,10035200,157570.853516,1756.113864660263,2026-09-14T05:59:05.909923158+09:00,2026-09-14T06:28:27.764249761+09:00
297,ahc061-ppo-10m-ch256-lr9p4868e-5,r5kqhbgo,256,0.00009486832981,10000000,10035200,143310.776367,2024.1597471237183,2026-09-14T06:28:27.777821151+09:00,2026-09-14T07:02:17.697560792+09:00
298,ahc061-ppo-10m-ch256-lr1p6870e-4,tnj7zu47,256,0.0001687023976,10000000,10035200,152634.121094,2023.5080826282501,2026-09-14T07:02:17.702591056+09:00,2026-09-14T07:36:06.748750923+09:00
299,ahc061-ppo-10m-ch256-lr3e-4,5aeo2po8,256,0.0003,10000000,10035200,163321.345703,2026.1531670093536,2026-09-14T07:36:06.761615476+09:00,2026-09-14T08:09:58.438080327+09:00
300,ahc061-ppo-10m-ch256-lr5p3348e-4,wt2v5igp,256,0.000533483823,10000000,10035200,164003.620117,2024.0245518684387,2026-09-14T08:09:58.451380182+09:00,2026-09-14T08:43:47.781965725+09:00
301,ahc061-ppo-10m-ch256-lr9p4868e-4,eg6xasl3,256,0.0009486832981,10000000,10035200,162128.422852,2026.8666191101074,2026-09-14T08:43:47.787458976+09:00,2026-09-14T09:17:39.844214920+09:00
302,ahc061-ppo-10m-ch64-lr4p0006e-4,sf3v0rjc,64,0.0004000563416,10000000,10035200,150573.263672,1741.230741262436,2026-09-14T10:03:20.170201690+09:00,2026-09-14T10:32:27.315231670+09:00
303,ahc061-ppo-10m-ch64-lr7p1149e-4,w0rqomau,64,0.000711485113,10000000,10035200,159214.512695,1737.0963535308838,2026-09-14T10:32:27.322312469+09:00,2026-09-14T11:01:29.929327183+09:00
304,ahc061-ppo-10m-ch128-lr4p0006e-4,1uiotvkl,128,0.0004000563416,10000000,10035200,158538.875977,1831.2006032466888,2026-09-14T11:01:29.942418610+09:00,2026-09-14T11:32:07.097029320+09:00
305,ahc061-ppo-10m-ch128-lr7p1149e-4,spv52an2,128,0.000711485113,10000000,10035200,159398.910156,1885.0595996379852,2026-09-14T11:32:07.102693641+09:00,2026-09-14T12:03:38.369100816+09:00
306,ahc061-ppo-10m-ch256-lr4p0006e-4,ok5n1134,256,0.0004000563416,10000000,10035200,164060.191406,2181.999670982361,2026-09-14T12:03:38.376112708+09:00,2026-09-14T12:40:06.120009185+09:00
307,ahc061-ppo-10m-ch256-lr7p1149e-4,0kw4vtb4,256,0.000711485113,10000000,10035200,161997.535156,2193.023210287094,2026-09-14T12:40:06.124954858+09:00,2026-09-14T13:16:45.022502154+09:00
