task_id,wandb_name,wandb_run_id,channels,lr,total_steps_requested,total_env_steps,final_mean_score,elapsed_sec
326,ahc061-ppo-modula-exp003-ch64-lr0p3,4luklyvs,64,0.3,20000000,20070400,170737.8984375,1554.8309209346771
327,ahc061-ppo-modula-exp003-ch64-lr0p4,15a5w5fb,64,0.4,20000000,20070400,172714.09765625,1550.504780769348
328,ahc061-ppo-modula-exp003-ch64-lr0p5333,nzl45zty,64,0.5333,20000000,20070400,175897.57421875,1454.7613854408264
329,ahc061-ppo-modula-exp003-ch64-lr0p7111,1xbn8z2j,64,0.7111,20000000,20070400,171694.3271484375,1413.641834974289
330,ahc061-ppo-modula-exp003-ch128-lr0p3,n5qxjl7v,128,0.3,20000000,20070400,177025.6044921875,1600.5744380950928
331,ahc061-ppo-modula-exp003-ch128-lr0p4,aeg6e8op,128,0.4,20000000,20070400,178979.1181640625,1586.7938256263733
332,ahc061-ppo-modula-exp003-ch128-lr0p5333,3fxwkz5u,128,0.5333,20000000,20070400,176833.619140625,1600.2363719940186
333,ahc061-ppo-modula-exp003-ch128-lr0p7111,jcbnykzr,128,0.7111,20000000,20070400,175554.603515625,1338.3414888381958
334,ahc061-ppo-modula-exp003-ch256-lr0p3,cwh743aa,256,0.3,20000000,20070400,179474.4755859375,2148.829577445984
335,ahc061-ppo-modula-exp003-ch256-lr0p4,zp6rvg1a,256,0.4,20000000,20070400,181501.443359375,2134.8089413642883
336,ahc061-ppo-modula-exp003-ch256-lr0p5333,uqd7d5an,256,0.5333,20000000,20070400,176656.2265625,2128.1344916820526
337,ahc061-ppo-modula-exp003-ch256-lr0p7111,6wxvl78n,256,0.7111,20000000,20070400,176350.2138671875,1792.0812103748322
